OBJECTID,NameplateC,OperatingM,OperatingY,Shape__Area,Shape__Length
289,0,9,2019,620523.035953522,3306.45143844287
290,0,9,2019,331874.832416534,2517.73822851739
291,2.5,7,2012,560858.572410583,4317.25129756288
292,0,10,2013,713863.803092957,5173.725944763
293,0,10,2017,177825.293693542,1710.36181478326
294,1.9,12,2015,375869.543067932,3072.01252207047
295,1.9,12,2015,100100.815925598,1232.07797697023
296,2.5,7,2021,672825.717979431,3948.95541690424
297,0,4,2016,223841.695930481,2230.4103436661
298,0,4,2016,208759.509418488,1827.94614895654
299,5,5,2014,971877.418697357,5077.82537020052
300,5,5,2014,957374.57964325,5618.07136814471
301,0,12,2013,199348.604515076,1971.17144987937
302,4,12,2013,452776.155563354,3278.43550042711
303,0,12,2013,223408.148445129,1983.90765659574
304,0,12,2013,789100.053340912,6090.0935999582
305,0,12,2013,157917.29920578,1687.12444186617
306,1.5,7,2020,525703.494228363,3650.53982659017
307,3.4,12,2021,542975.550380707,3952.2436838909
308,1.4,1,2016,331217.118560791,2696.0914761508
309,1.4,6,2016,316475.034381866,2256.62322051446
310,1,11,2017,150044.345794678,1685.44400896429
311,1,11,2017,174946.155601501,2171.39214388411
312,2.8,7,2015,566375.082015991,3265.22485836297
313,0,9,2017,191951.428981781,1818.57814893081
314,4,6,2017,257765.088451385,2613.2482543291
315,4,6,2017,537282.07036972,3797.37693985892
316,0,9,2017,139593.752029419,1583.89021765111
317,0,6,2022,246427.198608398,2341.8228981202
318,1.5,4,2014,324990.90952301,2600.3033322257
319,2,5,2014,330253.068695068,2750.15927561056
320,0,9,2017,199701.597465515,1717.64800316844
321,1,3,2018,74169.2208633423,1130.38851855865
322,1,3,2018,54195.951675415,941.301548018158
323,1,3,2018,139449.421035767,1474.81983909967
324,1,3,2018,99499.7607116699,1294.4339850835
325,3.3,9,2021,940014.804145813,4015.00682612488
326,2,12,2013,435212.043167114,3633.82634072014
327,0,5,2015,70270.4240570068,1362.92884262048
328,0,5,2015,78242.6867828369,1137.06517509623
329,3,12,2014,670858.060043335,4315.30786453158
330,0,5,2015,475639.790489197,2791.19946605144
331,0,7,2014,191588.02520752,1733.45775146919
332,0,7,2014,244617.158866882,2070.5025299359
333,5,7,2014,521997.910346985,2941.83251414942
334,1,9,2017,129634.083175659,2088.98302604061
335,0,8,2016,301292.751548767,2294.78532269287
336,0,8,2016,236011.968284607,1959.30757952458
337,0,8,2016,297059.91986084,2330.40097494145
338,0,8,2016,335141.55090332,2472.06240319008
339,0,4,2016,298567.021125793,2795.81555488411
340,0,4,2016,275142.3463974,2305.30882764289
341,0,8,2016,95562.8278961182,1304.09007188034
342,0,8,2016,70882.5992355347,1040.33389676238
343,14.7,12,2016,611916.340629578,4294.35385190012
344,1,10,2021,211290.098983765,1927.98204986047
345,3,6,2014,508760.020423889,3800.19080773343
346,1.5,9,2021,192102.401878357,2160.53557599004
347,4.3,12,2021,651957.82723999,5402.46995920008
348,4.3,12,2021,450276.362968445,3018.65923550734
349,2,12,2013,428381.059211731,3707.96871434977
350,0,7,2021,186097.173309326,2524.72010249539
351,0,7,2021,391571.496276855,4047.53969120035
352,0,7,2021,259241.004898071,2375.75351912166
353,0,7,2021,336352.583770752,2483.19187924107
354,0,7,2021,300415.982398987,2278.04600281896
355,0,7,2021,522692.263671875,2982.38560822307
356,2,6,2013,264991.704429626,2543.10908986083
357,2,6,2013,290434.951179504,3079.0230000785
358,1,12,2017,397348.905677795,2933.22140662782
359,0,4,2016,532719.9765625,3153.3686431442
360,0,4,2016,102227.420173645,1203.85927342873
361,0,4,2016,204350.757461548,2823.23174658152
362,0,4,2016,555763.413223267,3784.56245314512
363,0,4,2016,334965.282577515,3411.74044032674
364,1,12,2020,159935.91153717,1883.61995521043
365,1,12,2020,29553.4425735474,873.019386466121
366,0,7,2021,717508.697120667,4265.61529233728
367,0,6,2021,888508.304855347,5049.72701129019
368,0,9,2017,457091.960456848,3315.8705218058
369,0,9,2017,169829.160316467,1715.57856166041
370,0,9,2017,176792.586891174,1675.47721420503
371,1,6,2018,101768.649810791,1869.59747196165
372,1,6,2018,185656.624519348,2006.42350275841
373,2.9,8,2020,515390.51600647,3293.81121453125
